
CRISTOFOLI EQUIP BIOSSEGURANCA LTDA 
esp1107   RELATORIO DE MATERIAIS INVENTARIADOS  -  WMS                   FL.   1
                                         EXTRAIDO EM 11/04/2025 AS 17:34:52 HRS.
                                      DATA    |                    QUANTIDADE                                                     ||                         VALOR                                                                 |PRE     |
CODIGO          MATERIAL          UN. INVENT. |ESTOQUE       CONTAGEM      DIFERENCA     IV-           IV+           VAL. ABSOLUTO||ESTOQUE         CONTAGEM        DIFERENCA       IV-             IV+             VAL. ABSOLUTO  |UNIT.   |
--------------- ----------------- --- --------|------------- ------------- ------------- ------------- ------------- -------------||--------------- --------------- --------------- --------------- --------------- ---------------|--------|
MPR.01780       CABO FEEDBACK TE  UN  11/04/25         12,00         12,00          0,00          0,00          0,00          0,00            30,75           30,75            0,00            0,00            0,00            0,00     2,56
MPR.00277       FECHO VTP 12 AZU  UN  11/04/25         57,00         57,00          0,00          0,00          0,00          0,00           905,14          905,14            0,00            0,00            0,00            0,00    15,88
MPR.01995       ADESIVO PLASTICO  UN  11/04/25        840,00        840,00          0,00          0,00          0,00          0,00           131,63          131,63            0,00            0,00            0,00            0,00     0,16
PRB.00643       CHAPA SUPORTE VA  UN  11/04/25        507,00        643,00        136,00          0,00        136,00        136,00          1966,26         2493,70          527,44            0,00          527,44          527,44     3,88
MPR.01994       MANUAL SELADORA   UN  11/04/25        800,00        800,00          0,00          0,00          0,00          0,00           160,00          160,00            0,00            0,00            0,00            0,00     0,20
MPR.01986       PINO DE SOLDA CA  UN  11/04/25       3578,00       4059,00        481,00          0,00        481,00        481,00          1307,11         1482,83          175,72            0,00          175,72          175,72     0,37
MPR.02280       SENSOR PT 1000 -  UN  11/04/25         86,00         86,00          0,00          0,00          0,00          0,00          4935,91         4935,91            0,00            0,00            0,00            0,00    57,39
MPR.02084       CABO VALVULA GER  UN  11/04/25         40,00         40,00          0,00          0,00          0,00          0,00           136,91          136,91            0,00            0,00            0,00            0,00     3,42
MPR.02318       SENSOR DE TEMPER  UN  11/04/25        500,00        500,00          0,00          0,00          0,00          0,00          9419,78         9419,78            0,00            0,00            0,00            0,00    18,84
MPR.01765       CABO C/ CONECTOR  UN  11/04/25         13,00         13,00          0,00          0,00          0,00          0,00           171,74          171,74            0,00            0,00            0,00            0,00    13,21
PRC.00295       EVA PEDAL HIGI I  UN  11/04/25        125,00        125,00          0,00          0,00          0,00          0,00            20,38           20,38            0,00            0,00            0,00            0,00     0,16
MPR.02288       ADESIVO AGUA DES  UN  11/04/25        500,00        500,00          0,00          0,00          0,00          0,00           179,95          179,95            0,00            0,00            0,00            0,00     0,36
MPR.02314       CONECTOR TEE MAN  UN  11/04/25        860,00        860,00          0,00          0,00          0,00          0,00          8006,24         8006,24            0,00            0,00            0,00            0,00     9,31
MPR.01602       SENSOR TEMP LM-3  UN  11/04/25        111,00        115,00          4,00          0,00          4,00          4,00          4532,06         4695,38          163,32            0,00          163,32          163,32    40,83
MPR.01695       PACOTE PLASTICO   UN  11/04/25       2000,00       1900,00       -100,00        100,00          0,00        100,00           198,00          188,10           -9,90            9,90            0,00            9,90     0,10
MPR.00231       MANUAL CUBA ULTR  UN  11/04/25         13,00         35,00         22,00          0,00         22,00         22,00           138,22          372,12          233,90            0,00          233,90          233,90    10,63
MPR.01476       MOLA EM INOX 302  UN  11/04/25       5000,00       5000,00          0,00          0,00          0,00          0,00           561,35          561,35            0,00            0,00            0,00            0,00     0,11
MPR.02006       TECLADO SELADORA  UN  11/04/25         29,00         29,00          0,00          0,00          0,00          0,00           255,71          255,71            0,00            0,00            0,00            0,00     8,82
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                               15071,00      15614,00        543,00        100,00        643,00        743,00         33057,14        34147,62         1090,48            9,90         1100,38         1110,28
























